gvkey,datadate,tic,gsector,filing_date,accepted_date,adj_close_q,EPS,BPS,DPS,cur_ratio,quick_ratio,cash_ratio,acc_rec_turnover,debt_ratio,debt_to_equity,pe,ps,pb,roe,net_income_ratio,gross_margin,operating_margin,ebitda_margin,pretax_margin,effective_tax_rate,ebt_per_ebit,asset_turnover,fixed_asset_turnover,inventory_turnover,payables_turnover,wc_turnover,debt_to_assets,debt_to_capital,lt_debt_to_capital,interest_coverage,debt_service_coverage,debt_to_mktcap,fcf_per_share,ocf_per_share,cash_per_share,capex_per_share,fcf_to_ocf,ocf_ratio,ocf_to_sales,ocf_coverage,st_ocf_coverage,capex_coverage,revenue_per_share,tangible_bvps,interest_debt_per_share,peg,price_to_fcf,price_to_ocf,ev_multiple,dividend_payout,dividend_yield,div_capex_coverage,solvency_ratio,y_return
A,2016-06-30,A,Healthcare,2016-06-07,2016-06-06,44.36,0.28,12.689024390243903,0.11349693251533742,3.078552515445719,2.5887025595763458,1.887908208296558,1.6926910299003322,0.4548429319371728,0.8349351273426238,158.42857142857142,13.091187438665358,3.2051705910619894,0.02186448822681403,0.08930323846908735,0.5201177625122669,0.12855740922473013,0.19528949950932287,0.11481844946025516,0.2222222222222222,0.8931297709923665,0.13337696335078533,1.6704918032786886,0.8810810810810811,2.2227272727272727,0.4239650509673393,0.24725130890052355,0.3121798049909106,0.2843878954607978,7.277777777777778,0.6837944664031621,0.14160504710672928,0.7024539877300614,0.7791411042944786,6.561349693251533,0.07668711656441718,0.9015748031496063,0.22418358340688438,0.2492639842983317,0.13446267866596082,1.0808510638297872,10.16,3.125766871165644,3.432515337423313,5.8496932515337425,-1.5066454212454217,58.25292576419214,52.51937007874015,65.77849246231156,0.4065934065934066,0.0027736298268655284,4.096774193548387,0.04460431654676259,0.05972250177329701
A,2016-09-30,A,Healthcare,2016-09-07,2016-09-07,47.09,0.38,13.240853658536585,0.11384615384615385,3.066898349261512,2.5951346655082537,1.9105125977410946,1.769491525423729,0.43806568399275925,0.780105917568501,123.92105263157896,14.90205938697318,3.582258807276076,0.02855169237854018,0.11877394636015326,0.5191570881226054,0.13984674329501914,0.2021072796934866,0.12835249042145594,0.07462686567164178,0.9178082191780822,0.13498836307214895,1.6757624398073836,0.9244935543278084,1.9233716475095786,0.44106463878326996,0.24398758727695888,0.3028892455858748,0.2755629691409508,8.588235294117647,0.7976190476190477,0.12129003229901496,0.5230769230769231,0.5969230769230769,6.766153846153846,0.07384615384615385,0.8762886597938144,0.1685490877497828,0.18582375478927204,0.10280869104398516,0.825531914893617,8.083333333333334,3.212307692307692,4.243076923076923,5.858461538461539,0.8782600806451616,91.51617647058823,80.19458762886597,72.25473933649289,0.29838709677419356,0.002378235927431666,3.180327868852459,0.05430932703659976,-0.01282342855296992
A,2016-12-31,A,Healthcare,2016-12-20,2016-12-20,46.49,0.38,12.929878048780488,0.11728395061728394,3.8465608465608465,3.2825396825396824,2.422222222222222,1.7606973058637083,0.45522196561457534,0.8365951426550342,122.3421052631579,12.706282628262827,3.3286206083470877,0.029238387172836597,0.1116111611161116,0.5292529252925292,0.16471647164716471,0.20342034203420342,0.13591359135913592,0.16556291390728478,0.825136612021858,0.14254554785732615,1.7386541471048513,0.9812382739212008,2.035019455252918,0.4383507595186427,0.24429047985629973,0.3098454027664768,0.3098454027664768,9.631578947368421,10.578947368421053,0.1348759056662048,0.5617283950617284,0.7222222222222222,7.064814814814815,0.16049382716049382,0.7777777777777778,0.24761904761904763,0.21062106210621062,0.12289915966386554,0.0,4.5,3.4290123456790123,4.077160493827161,5.935185185185185,0.0,77.56417582417582,60.32769230769231,60.75964601769911,0.3064516129032258,0.0026918510584641713,2.6,0.05073280721533258,0.1285988345448654
A,2017-03-31,A,Healthcare,2017-03-08,2017-03-08,52.87,0.52,13.180981595092025,0.13043478260869565,3.3379247015610654,2.831955922865014,2.0578512396694215,1.6339969372128638,0.453760162601626,0.8312776355596928,101.67307692307692,14.778200562324274,3.669616011170584,0.03909704444961601,0.15745079662605435,0.5379568884723523,0.19306466729147143,0.2511715089034677,0.18088097469540768,0.12953367875647667,0.9368932038834952,0.13554369918699186,1.6339969372128638,0.8947368421052632,1.8395522388059702,0.40756302521008403,0.2530487804878049,0.3167435204325012,0.2954582718478439,10.3,1.1571428571428573,0.12632908727234446,0.2608695652173913,0.36024844720496896,6.959627329192546,0.09937888198757763,0.7241379310344828,0.10651974288337925,0.10871602624179943,0.05823293172690763,0.6105263157894737,3.625,3.313664596273292,4.118012422360248,6.248447204968944,0.636901488095238,187.71833333333333,135.93396551724138,57.907985074626865,0.25,0.0026635650930916,1.5675675675675675,0.062430011198208284,0.11494185560327651
A,2017-06-30,A,Healthcare,2017-06-06,2017-06-06,59.31,0.51,13.452307692307693,0.13395638629283488,3.2013479359730415,2.7396798652064027,2.012636899747262,1.6277695716395864,0.4542165668662675,0.8327996340347666,116.29411764705883,16.253901996370235,4.096935041171089,0.03751143641354071,0.14882032667876588,0.5372050816696915,0.1823956442831216,0.24047186932849365,0.1733212341197822,0.14136125654450263,0.9502487562189055,0.1374750499001996,1.6325925925925926,0.9306569343065694,1.9245283018867925,0.4272145764683078,0.25486526946107785,0.31847233047544815,0.29186912860382247,10.05,0.9118773946360154,0.11405888855391418,0.6666666666666666,0.8006230529595015,7.442367601246106,0.13395638629283488,0.8326848249027238,0.21651221566975568,0.23321234119782214,0.12579539892315222,1.066390041493776,5.976744186046512,3.4330218068535827,4.4672897196261685,6.426791277258567,-14.198378048780457,83.7,69.69571984435798,66.28603773584905,0.2621951219512195,0.0024006520841009836,2.988372093023256,0.0598736610821203,0.08960734137432876
A,2017-09-30,A,Healthcare,2017-09-06,2017-09-06,64.87,0.55,14.134969325153374,0.1308411214953271,3.2199838839645447,2.763900080580177,2.0652699435938757,1.6430678466076696,0.44183512891901705,0.7921006944444444,117.94545454545454,17.228536804308796,4.16505859375,0.03797743055555555,0.1570915619389587,0.5350089766606823,0.18043087971274685,0.23608617594254938,0.1732495511669659,0.09326424870466321,0.9601990049751243,0.13485050236048904,1.5558659217877095,0.9151943462897526,1.792387543252595,0.4150521609538003,0.2519065488439656,0.311107788907161,0.2810110781713216,10.578947368421053,0.8193979933110368,0.10842726281340871,0.5763239875389408,0.7102803738317757,7.984423676012461,0.13395638629283488,0.8114035087719298,0.18372280419016923,0.20466786355475763,0.10956271023546373,0.8142857142857143,5.3023255813953485,3.470404984423676,5.059190031152648,6.542056074766355,3.4957931785714216,103.74372972972974,84.17802631578948,71.14292775665399,0.24,0.0021883445642302576,2.6823529411764704,0.06191780821917808,0.04122271582395431
A,2017-12-31,A,Healthcare,2017-12-21,2017-12-21,67.6,0.55,14.941176470588236,0.13354037267080746,3.3008709422011084,2.8456057007125892,2.120348376880443,1.6422651933701657,0.42618086873961547,0.7440944881889764,122.90909090909089,18.42359966358284,4.539092416079569,0.03667633651056776,0.1488645920941968,0.5441547518923465,0.19596299411269974,0.25063078216989065,0.1900756938603869,0.2168141592920354,0.9699570815450643,0.14111084737716592,1.570673712021136,0.9426086956521739,1.777049180327869,0.42006712594947887,0.2386660337051982,0.29413485446833404,0.27176701373170364,11.65,1.0826086956521739,0.09180275782605957,0.7142857142857143,0.8944099378881988,8.316770186335404,0.18012422360248448,0.7986111111111112,0.22802850356294538,0.24222035323801513,0.14321233217304824,1.3714285714285714,4.9655172413793105,3.6925465838509317,5.798136645962733,6.307453416149069,0.0,95.242,76.06131944444445,71.2706711409396,0.24293785310734464,0.0019629629967780017,2.8514851485148514,0.06377053745474798,-0.04802861989836721
A,2018-03-31,A,Healthcare,2018-03-06,2018-03-05,64.43,-0.99,14.0,0.14860681114551083,3.230712711241734,2.783982365907421,2.121234386480529,1.6125166444740346,0.479650494366521,0.9226006191950464,-65.08080808080808,19.585375722543354,5.245,-0.07076514816452897,-0.26424442609413706,0.555739058629232,0.18909991742361684,0.2510322047894302,0.19240297274979357,2.3733905579399144,1.017467248908297,0.13922740859967808,1.529040404040404,0.8848684210526315,1.8424657534246576,0.4076068663749579,0.2466084157277535,0.32173391330433476,0.2847200253084467,11.45,-0.6821917808219178,0.09043806173314742,0.47987616099071206,0.6656346749226006,8.938080495356036,0.18575851393188855,0.7209302325581395,0.15797207935341662,0.17753922378199835,0.10023310023310024,0.6231884057971014,3.5833333333333335,3.7492260061919507,4.804953560371517,6.7027863777089784,0.0661771484375,153.01864516129035,110.31576744186047,75.5785855263158,-0.15,0.0020237887940284735,1.9907407407407407,-0.06447746883988495,-0.04703011223163316
A,2018-06-30,A,Healthcare,2018-05-31,2018-05-31,61.47,0.64,14.150306748466258,0.14906832298136646,3.3150183150183152,2.87985347985348,2.205860805860806,1.5994694960212201,0.47438524590163933,0.9033167136353782,96.046875,17.55247097844113,4.588831562974203,0.04443962714068936,0.16998341625207297,0.5339966832504146,0.17412935323383086,0.24543946932006633,0.18822553897180763,0.09691629955947137,1.0809523809523809,0.13729508196721313,1.5112781954887218,0.9461279461279462,2.07380073800738,0.3892834086507424,0.24077868852459017,0.3143579072532699,0.2806798690160611,11.052631578947368,0.8203592814371258,0.09991364437734195,0.7919254658385093,0.9409937888198758,9.350931677018634,0.14906832298136646,0.8415841584158416,0.22197802197802197,0.2512437810945274,0.14326241134751774,0.9619047619047619,6.3125,3.7453416149068324,5.232919254658385,6.627329192546584,-0.15679034266048178,83.01286274509803,69.86231023102309,68.48743243243243,0.23414634146341465,0.0022675437021808104,3.15625,0.061195104391648665,0.14778590925877202
A,2018-09-30,A,Healthcare,2018-08-30,2018-08-30,71.26,0.74,14.08641975308642,0.15,3.616370808678501,3.001972386587771,2.101577909270217,1.641200545702592,0.45286860701880466,0.8284399649430324,96.2972972972973,17.566749792186204,4.630324276950044,0.051709027169149865,0.19617622610141314,0.5494596841230258,0.17955112219451372,0.2601828761429759,0.20116375727348296,0.024793388429752067,1.1203703703703705,0.1440891124685591,1.5018726591760299,0.869983948635634,1.9853479853479854,0.41389987958025115,0.21547490717451193,0.28272827282728275,0.28272827282728275,12.0,17.055555555555557,0.08512833131435492,0.5125,0.615625,6.659375,0.103125,0.8324873096446701,0.1942800788954635,0.16375727348295926,0.10950528071150639,0.0,5.96969696969697,3.759375,3.5,5.678125,1.4327322033898306,128.85853658536587,107.27309644670052,66.45623003194889,0.2033898305084746,0.0022713506965475467,2.432098765432099,0.07643480560698228,-0.05480033054418599
